text,predictions
ഇനിയും ലോക്ക് ഡോൺ<br>ആണ്<br>പരിപാടി ആണെകിൽ<br>പ്രിയ സഗമേ  കിറ്റിന്<br>പകരം ഇച്ചിരി വേഷം തരണം,1
They revised the social distancing from 2M to 2cm so it’s fine. 🔥🤬,0
"ശാസ്ത്രം ഇന്ന് ഒന്നു പറയും, നാളെ ഒന്നു പറയും, മറ്റന്നാൾ വേറൊന്ന് പറയും... ഇന്ന് മുട്ട കഴിക്കാമെന്ന് പറയും, നാളെ കഴിക്കാൻ പാടില്ലാന്നു പറയും... അതും എന്തുകൊണ്ടാണെന്ന് മലബാർ പരിശോധിക്കണം",0
ചൈന വുഹാനിൽ വൈറസ് ടെസ്റ്റ് ചെയ്തു നോക്കിയതായിരിക്കുമോ. പിന്നീട് കൺട്രോൾ കിട്ടിക്കാണില്ല. മറ്റു രണ്ടു നഗരങ്ങളും അവർ ആദ്യമേ സീൽ ചെയ്തു കാണും.,0
Population target ethreya expect cheyyunne sirmar 🥱,0
അവരെവിമര്‍ശികാതെ അവരുടെ വെല്ലു വിളി ഏറ്റെടുക്കു. കുറെ കാലമായല്ലോ അവരെ കുതിരകയറാന്‍ തുടങ്ങിയിട്ട്  അവര്‍ക് ഒരു ചാന്‍സ് കൊട്ക്കു അതിന് ധൈയ്ര്യം നിങ്ങള്‍ക്കും ഇല്ല . വൈറസ് ഉണ്ടോ who എന്താണ് പറയുന്നത് അതൊന്ന് പബ്ളിഷ് ചെയ്യുമോ,0
മരണ വീട്ടിൽ തിരുവാതിര നടത്താം 👌അതാണ്.. അതിനുവേണ്ടി 500-ൽ പുറത്ത് ആളും ആവാം... പിന്നെ പ്രവാസികൾ ഉണ്ടാവാനും പാടില്ല..,1
We can&#39;t say anything now. But all these countries protect their secret. Maybe theirs true or false <br>Wait and see.,0
The next North Korea.... Congratss...!!,0
No interest to hear you,0
ഓമിക്രോണിന് ഇതിലും നല്ല വരവേൽപ് ഒരു നാട്ടിലും കിട്ടൂല 😂😂😂😂,1
തൽക്കാലം ഒരു ആശ്വാസം,0
ഇതു സത്യമണ്ണെകിൽ എല്ലാ രാഷ്ട്രങ്ങൾ ഒത്തു ചേർന്നു ചൈന യെ ഒറ്റപെട്ടുത്തണം,0
അനുഭവിക്കുന്നത് പാവപ്പെട്ട സാധാരണക്കാരായ ജനങ്ങൾ ഇനി പുതിയ പ്രോട്ടോകോൾ വരും,1
വിമർശിക്കുന്നു,1
Neeyoke marunnu companyude kayil ninnu cash medichat kidannu chilakunnath kndille naaarikal..... Ninteyoke oru media phoooooooo,1
കാലം കാത്തു വെച്ച നിധിയാണ് എൻ പിണറായിക്ക...,1
ഇതൊക്കെ ഉള്ളത് തന്നെ.. 😗,1
Kumbha  mela  യെ   തകര്‍ക്കാൻ  ഉളള  Christian  Mechinery  യുടെ  കളള  പ്രചരണം.,0
Panna rascal  paranaari...,0
"<b>korona നേരത്തെ നാട് വിടും പോലും</b><br>ഒരാഴ്ച മുൻപ് ഒമ്പത്തോ പതോ സ്ഥാനത്ത് നിന്ന ഇന്ത്യ ഇന്ന് ലോ കത്ത് അഞ്ചാം സ്ഥാനത്ത് എത്തി ഇരിക്കുന്നു... ഗോൾഡ് ലഭിക്കാൻ ഇനി വിരളം ദിവസം കാത്തിരുന്നാൽ മതി എന്ന് തോന്നുന്നു<br>കൊറോണ പോകുമായിരിക്കും, പക്ഷേ എത്ര പേരെ കൂടെ കൊണ്ട് പോകും എന്ന് മാത്രം നോക്കിയാൽ മതി... ലോക് ഡൗൺഇന്റെ വിജയം എന്ന് പറയാം....<br>പോയി പണി വല്ലതും നോ ക്ക് കാറിയാച്ച<br>130  കോടി ഉള്ളത് കൊണ്ട് കുറച്ചു അങ്ങ് പോകട്ടെ...തെറ്റില്ലാത്ത വിശകലനം.....",0
Oro koprayangal.....,1
<b>പിണറാതിര</b>,1
തോന്നിവാസം അല്ലാതെന്തു പറയാൻ,1
തിരുവാതിര കളി നടക്കുമ്പോൾ ഗം ഓർത്തു ചിരിച്ചത് ഞാൻ മാത്രമാണോ?? 🤣,1
Ivide pravasikal vannal anallo kuzhapam,1
Thiruvathirakkalinadakkatte.covid.<br>കൂടുന്നു.koodatte.iniyumkoodatte.thiruvathirakalikkuaalukalpora,1
കൊറോണ സിപിഎം നേയും dyfi. യേയും ഭയക്കുന്നു. ബക്കറ്റിൽ പൈസയിടാൻ കാശില്ലാത്തതിനാൽ ഒളിച്ചോടാൻ തയാറെടുക്കുന്നു.,0
Ivde oru govt ille ea neriked kaanikumbol ellavarum urangukayaayirunno atho oru  samudayathe motham theevravaadhikal ennu vilikuvaanulla avasaram  viniyogikukayaayirunno  kalla naariya mathabraanthanmaare ningal orikalum swargathil praveshikukayilla saa.oohya dhrohikal,0
Ivareyokke jeyipichavare sammadikkanam🤐,1
പറഞ്ഞു തീരുന്നതിന് മുമ്പ് question ചോദിച്ച് വായടക്കാതെ,0
"കോറോണയെപ്പറ്റിയറിയാൻ ഇതൊന്നു കണ്ടുനോക്കൂ<br><a href=""https://youtu.be/d9avTdZObZ0"">https://youtu.be/d9avTdZObZ0</a>",0
ചുവപ്പ് നിറം ആയതുകൊണ്ട് ഓമിക്രോൺ വരില്ല.സ്തു തി ഗാനം ആയതുകൊണ്ട് കോറോണയും വരില്ല.,1
അവിടെ ഉള്ള സത്യങ്ങൾ പുറത്ത് വരില്ല,0
"China has created this Virous and they have the antidote. This is the weapon they tried  <br> To use against  India and US ,  but we will come back strongly.",0
Medam അടുപ്പില്‍ thooralle,1
മെഡിക്കൽ മാഫിയ യുടെ പിടിയിൽ അകപ്പെട്ടുപോയി ഇന്ന് ലോകം. അവർക്കുവേണ്ടി ശബ്ദിക്കാനും സംരക്ഷണം ഒരുക്കാനും നമ്മുടെ മുഖ്യധാരാ മാധ്യമങ്ങളും സർക്കാരും മത്സരിക്കും . നാം കഴിക്കുന്നതും  ശ്വസിക്കുന്നതും ഒക്കെ വിഷമയമാണെന്നു ഇക്കൂട്ടർക്ക് അറിയാൻ മേലാഞ്ഞിട്ടല്ല . &quot;പണത്തിനുമേലെ പരുന്തും പറക്കില്ലല്ലോ  &quot;,0
ithoru ottapeetta sambavam ayirikkum.. <br>Mandanmar,1
Super,1
Balikudeerangale....... Jai dingan,0
ഷാജൻ സാർ ഈ വാർത്തയിൽ പറഞ്ഞ് ശുഭസൂചന സത്യമായി ഭവിക്കട്ടെ വളരെ നന്ദി സാർ,0
Koronaiku sesham veendum namal pazhaya kuththazhinja jeevitham thanne thudarananu bhavamenkil ithilum valiya duranthangal undakum.Deivathe snehichum Deivakalpanakal anusarichum jeevikkan nammuk kazhiyumarakanam.that is better.,0
കാരണ ഭൂതം 🤣🤣🤣,1
അല്ലേലും മാർകിസ്റ്റ് പാർട്ടിക്കാർക്ക് ഇത്തിരി ധാർഷ്ട്യം കൂടുതൽ ആണ്.. അവർക്ക് എന്ത് തോന്യസവും കാണിക്കാം അതിൽ തെറ്റില്ല.. പക്ഷേ അത് തന്നെ വേറെ ആരേലും കാണിച്ച അത് വലിയ തെറ്റാണ് കേസ് ആണ്.. ഇരട്ട ചങ്ക് എന്നല്ല ഇരട്ടത്താപ്പ് എന്ന് വേണം പറയാൻ,1
Kitt vangi kuthiyavarella moonji nadakkunnu 🤣🤣🤣🤣,0
Ok  Sir  Thank  u  🙏🙏🙏🙏👍👍👍🌹🌹🌹,0
Prepare List of all products from Chineese companies n stop buying it,0
ബുദ്ധിയില്ലായ്മ അന്താരാഷ്ട്ര രംഗത്ത് ചർച്ച ആക്കുക തബ് ലീഗിൻറെ പേരിൽ ഇന്ത്യയിലെ മുസ്ലീങ്ങളെ വേട്ടയാടിയ ഗവൺമെൻറ് നെതിരെ  ഇന്ത്യയിലെ എല്ലാ മതേതര കക്ഷികളും ഒന്നിക്കുക,0
ന്തായാലും ബീഫിന്റെ പേരിൽ കുറെ നിരപരാധികളെ കൊന്ന ചാണകങ്ങൾ ചെയ്തതിനേക്കാൾ വലിയൊരു തെറ്റ്.. ഇനി ഈ ലോകത്തു ആരും ചെയ്യില്ല..ചെയ്യാൻ സാധിക്കില്ല 🤸,0
Evar oke ntena verte virus nne indakan nadakn,1
അവരുടെ ഭക്ഷണ രീതി വളരെ കഷ്ടമാണ് പിന്നെ ഇത് പോലത്തെ വൈറസ് വരാതിരിക്കൂ ....  പിന്നെ അവിടെ മുസ്ലിങ്ങളെ തടവിലിട്ടു അവർ എന്ത് നേടി പടച്ചവന്റെ  പരീക്ഷണം  തന്നെ  ..  അള്ളാഹു കാക്കട്ടെ..  ആമീൻ,0
Ningal 7aum arivu kandaal porey😅,0
മന്ദബുദ്ധികളെ ഭരണഘടന സംരക്ഷിക്കുവാൻ ചുമതലപെടുത്തിയാൽ ഇങ്ങനെയൊക്കെ ഇരിക്കും,1
America in Europe. 😅😅😅😅😅,0
Halal.  Covide.    O. K,0
We&#39;ll done,0
എല്ലാ മാഫിയ ക്കൾക്കും പേടിയാകുന്നുണ്ടോ മാഫിയ ക്കാരെ&#39; .ജനങ്ങളെ ദ്രോഹിക്കുന്ന മാഫിയ ക്കാരെ . ദ്രേ)ഹം ചെയ്യുന്നത് നിർത്തിക്കോ അല്ലങ്കിൽ Co Rം ണ യുടെ രുപത്തിലും ബോംബിന്റ രുപത്തിലായിരിക്കും. ജാഗ്രത .All Ahu Akbar,0
പ്രകൃതിക്ക് ഒരു ബാലൻസ് ഉണ്ട്. Amazon കാട് കത്തിയപ്പോൾ എത്ര ജീവജാലങ്ങൾ നഷ്ടപ്പെട്ടു അതിനു തുല്യമായ മനുഷ്യരും നഷ്ടപ്പെടും.,0
THERE IS A DIVINE HAND BEHIND IT.RETURN TO MORALITY,0
Kodi matre undavu anikal kanilla😄😄😄,1
Manushyathwam illatha  kammikalalle China bharikunnathu  athukondu ithil athbhuthapedendathilla,0
Entealiyasammathichu,1
കേരളത്തിലേക്കുള്ള ഒമിക്രോണിൻ്റെ വരവ് ആഘോഷമാക്കി കേരളാ സർക്കാർ. തനിക്ക് ലഭിച്ച ഗംഭീര സ്വീകരണത്തിന് ഒരുപാട് നന്ദിയുണ്ടെന്നും ഉടനെയൊന്നും ഈ നാട് വിട്ട് പോവില്ലെന്നും ഒമിക്രോൺ പ്രതികരിച്ചു.,1
എന്താ പിള്ളേച്ചാ കേസ് എടക്കുനിലേ.151 മതി നികുന്നവനെ തോട്ട് പിടിച്ചു ഫൈൻ അടിച്ചാലോ sagave,1
ഇവിടെ ഇപ്പോഴും നേരം വെളുക്കാത്ത അന്തങ്ങൾ ഉണ്ട്,1
മൂക്കിപ്പനി എല്ലായിടത്തും വിധികൾ ഭരിക്കുന്നിട൦ ആഘോഷമാക്കു൦. നല്ല ഉപ്പു കഞ്ചാവു നിരോധനം പിൻവലിക്കുക നൃുമോണിയ മാറു൦,0
ഉളുപ്പില്ലായ്മയേ നിന്നെ ഞാൻ CPM എന്ന് വിളിക്കും,1
"Jaiva.yudham- ithu thanne 3 rd lola Maha yudham.Manushyar aaydham use chaitu war nadathuna kaalam vitittu Jaiva wepons use chaitu.ivide skhya sakthikal Uthara Coria,Russia,Beijing. Thats all.",0
Ith നേരത്തെ അറിയാവുന്നതല്ലേ,1
അയ്യേ കഷ്ടം,1
🤦ഇങ്ങനെ പോയാൽ ശവ മേള സംഘടിപ്പിക്കേണ്ടി വരും 😀👍,1
നാളെ എന്റെ കല്യാണം ആണ് 100പേരെ വിളിച്ചിട്ടുള്ളു പിന്നെ 500പേർ അടങ്ങുന്ന തിരുവാതിര കളി ഉണ്ട് അപ്പോൾ കുഴപ്പം ഇല്ലല്ലോ 🤗🤗🤗,1
നേതാവിന്റെ അപ്പി തിന്നു ജീവിക്കുന്നവർ ആ അപ്പി വരെ ബിരിയാണി ആന്ന് പറഞ്ഞ് ന്യായീകരിക്കുന്ന് പിന്നെയാണിത്,0
Nthonnade ithu,1
ഇത് പണ്ടേ അറിയാവുന്ന കാര്യമാണ്. ചൈന എന്നും ലോകത്തിന് എതിരാണ്.ഉദാഹരണം ടിബറ്റ്   ടിയാമൻ സ്ക്വയർ  ഹോങ്കോങ്  അറുനാചൽ പ്രദേശ് അങ്ങിനെ എത്രയോ.,0
evatakalkonum nanam ele ! enth tengayan eth !,1
Adutha masam ente thiruvathira aanu..kalyanam alla kettoo...party layanam aanuu🤣🤣,1
കൊറോണ മാറിയിട്ടില്ല മാറിയത് ലോക്ക് downum ജനങ്ങളുടെ പേടിയും മാത്രമാണ്,1
Nhangal mamma channelukal kanunnath nirthy.Jai Sajan Sir.🙏🙏,0
American   Tramppp    nntta  purrakaa   pooyia   mooddy   .Rasshiya    is   forget,1
ഈ കാരണ ഭൂതത്തെ തുറന്നു വിട്ട നമ്പൂതിരിക്ക്  ആയിരം നമസ്കാരം. ബോറടിച്ചു നിക്കുമ്പോഴ കോമഡി,0
Thiruvathira Party of India 😭😭🤣😂🤣😂😂🤣🤣😂🤣🤣😂,1
ഒരു വശത്ത് വിലാപയാത്ര മറുവശത്ത് തിരുവാതിര കളിച്ച് കോവിഡും പരത്തിയുള്ള ഒരു രക്തസാക്ഷിയെ കിട്ടിയ ആഹ്ലാദം നിറഞ്ഞ ആഘോഷവും കൊള്ളാം വിവരദോഷികൾ!!! ഇവർക്കെതിരെ കേസ് രജിസ്റ്റർ ചെയ്തു ശിക്ഷിക്കുക!!!,1
ചൈനീസ് ഫോണിലൂടെ കാണുന്ന വർ ലെക്കടിക്കുക,0
നിങ്ങള് വൈറസിനെ കണ്ടിട്ടുണ്ടോ .,1
Makaravilakkum kaanikkane,1
ഇത് ഒരു ബയോ വാറിനായി റിസർച്ച് ചെയ്യാൻ കൂടി വെച്ചിരുന്ന വൈറസ് കൈവിട്ടു പോയതാണെന്ന് സാമാന്യ ബുദ്ധി ഉള്ള എല്ലാവർക്കും അറിയാം പ്രകൃതിയിൽ കാണുന്ന വൈറസിനെ mutation മൂലം മാറ്റം വരുത്തി ആയുധത്തിൽ ഉപയോഗിക്കാൻ ഉള്ള ശ്രമത്തിൽ കൈവിട്ടു പോയ ഒരു പരീക്ഷണം ചൈനയെ ഒറ്റ പെടുത്തുക അത് മാത്രമേ ഇതിനു പ്രതിവിധിയായി ഉള്ളു,0
Old story... Bring something new,0
Attukal pongala anuvadhikkanam..... Ithinekkaaalum surakshidhamaaanu,1
എല്ലാം പിണറായി ദൈവം 💰💰💰💰🙆,1
പൊളിയേ 😂😂😂😂,1
Ethu എഴുതിയ തിരുമേനി പറഞ്ഞു ഈ paatu ആരെയും udeshichillennu,1
Until now there is no evidence that virus is genetically created. I will be doing such a video in Qnow channel,0
Super  👌,1
Sathaythill ethokke avarude plan annu,0
Chinaye illaathaakkanam,0
"താങ്കൾ പറഞ്ഞാതാണ് സത്യം, ഇനിയെങ്കിലും ഇൗ അഞ്ചുമണി തള്ളു നിർത്തിയില്ല എങ്കിൽ കേരളത്തിലെ സാമൂഹിക അന്തരീക്ഷം കലുഷിതം ആകും.",0
Miiyran maru motham kulam thonditte poku.. Vote cheytha jayipichavan oke anubhavikate,1
നാട്ടിലെക്ക് പോവുന്ന പ്രവാസികൾ ശ്രദ്ധിക്കുക - കോവിഡ് പിടിക്കാതിരിക്കാൻ -,1
Maybe this is secret biological war between America and Europe and another view point is the use of dictatorship and defect of democracy,0
ചൈന നാറികൾക്ക്  ലോകം മൊത്തം അവരുടെ കാൽകീഴിൽ വരണം എന്നാണ്,0
Koottam koodaruth ennu parannjaaal ningalkk mansssillaavilley....,1
ഈ സമയത്ത് പരിപാടി അവതരിപ്പിച്ച മുഴുവന്‍ ആളുകളെയും പബ്ലികിൽ വിചാരണ ചെയ്യണം.ശിക്ഷിക്കണം... ഏത്‌ കൊമ്പത്ത് ഇരിക്കുന്ന തമ്പുരാന്‍ ആയാലും ശരി..,1
Ne podee,0
"Nalla vartha  good - innu kalathumuthal whatsappil karangunna oru item eduthu varthayakki, pl bear in mind Kerala people r much ahed of u, pl have some true investigative jounalisam.",0
Party സമ്മേളനം എല്ലാം കഴിയുമ്പോൾ ഒരു ലോക്കഡോൺ und.......,1
"Ellaarum Vimarshichitt Pinaraayi daivathinte kopam vaangi koottanda, ath mathi covid parakkaan 😌....",0
"Already some of chinese doctors reported 2019 september , corona virus and pneumonia, also news reported later they deleted news. Indian top news channel reported (WION) these political agenda..",0
അവതാരകൻ പൊളി...,1
"Really, there is a huge deal of foul play. This seems to be a biological weapon to destroy the world order.",0
കാലം ഉത്തരം തരും...,0
👺👺👺ആരെവിടെ<br>കൊണ്ടുവരാൻ<br>ചുരൽ കഷായവും 👺👺👺കാ‍ന്താരി അരച്ചതും 👺👺👺👺,1
ബിൽഗേറ്റ്സ് ന്റെ depopulation അജണ്ടയുടെ ഭാഗമാണ് ഈ വൈറസ്.,0
മൈരേ  നീ  അല്ലെ  ഇതിന്റ മുൻപ്  പറന്നത്  കൊറോണ  വൈറസ്  വന്ന്  200 പട്ടാളക്കാരെ  കൊന്നു  എന്ന് നോർത്ത്  കൊറിയ,0
😂😂😂😂😂😂 ഉളുപ്പ്,1
രാജ്യം തകർക്കാനുള്ള ആസൂത്രിത ശ്രമമാണ് ഈ ജിഹാദി സമ്മേളനത്തിന് പിന്നിലുള്ളത്,0
ചൈനയിലെ ഈ വുഹാൻ സ്വതന്ത്ര രാജ്യമാണോ??<br>റഷ്യ അറിഞ്ഞ സമയം മുതൽ അതിർത്തി അടച്ച രാജ്യമാണ്.<br>പിന്നെ ചൈനയിൽ എവിടെ എന്തൊക്കെ എന്ന് ചൈനക്കേ അറിയൂ എന്ന് ഒരിക്കൽ പറയും.<br>മറ്റൊരിക്കൽ എല്ലാ വിവരവും മറുനാടനും ലഭ്യമാവുന്നു.<br>ഹ..ഹ..ഹ..,0
എത്രയും പെട്ടെന്ന് മാറികിട്ടട്ടെ,0
ചൈനയിക്ക് കൊടുക്കാൻ വൈറസ് ഒന്നും ഇല്ലേ. ഇല്ലെങ്കിൽ മിസ്സെൽ കൊടുക്ക്‌ അവന്റെയൊക്കെ നെഞ്ചാം കുടിക്കു കൊടുക്കണം.പരനാറികൾ ഇവന്മാരെ ഭൂപടത്തിൽ നിന്നും മാറ്റേണ്ട സമയം കഴിഞ്ഞു.,1
"😄😄😄😄, എന്തൊരു കഷ്ടാണ്",1
Ramzan adukkumbazhekkum  lock aakkum athallea oru sugho ....,1
ഈ പരുപാടി 😂❤️‍🔥,1
എന്നിട്ടും പ്രവാസികൾക്ക് ആണ് നിർബന്ധിത ക്വാറന്റൈൻ ശബാഷ്,1
Rip തിരുവാതിര 😂😂,1
ആസനത്തിൽ വാല് മുളച്ചാൽ തണലു കിട്ടും,1
pravasikl onum oru cash polum sahayikaruth evanmare,1
കൊറോണപിടിപെട്ട  രജ്ജങ്ങൾ എല്ലാംകൂടിഒരുമിച്ച് ചൈനയെ പുകക്കുക,0
അവിടെ നമ്മുടെ ഇൻഡ്യക്കാർ കുറവായിരിക്കും,1
ഇവന്മാരുടെയൊക്കെ തലയിൽ പരിപ്പുവടയാണോ.<br>വിഡ്ഢികൾ. ഒരു ഉളുപ്പ് വേണ്ടേ. <br>ശ്രീകൃഷ്ണ ജയന്തി ആഘോഷിക്കുന്ന തിരുവാതിര പാർട്ടി<br>കഷ്ടം. ശർദിക്കാൻ വരുന്നു,1
